epoch,accuracy,loss,val_accuracy,val_loss
0,0.36645448,1.3282739125623158,0.4495677351951599,1.2680337143906255
1,0.65098256,0.9858316374953486,0.6829971075057983,0.8888585746116529
2,0.79878217,0.5666644524297257,0.7031700015068054,0.7379472211046246
3,0.85026294,0.4037609973789878,0.6945244669914246,0.7274916585996446
4,0.8859673,0.32205934311143913,0.7146974205970764,0.7617591052646252
5,0.91115415,0.2592368960512532,0.7089337110519409,0.8295203632854934
6,0.9208414,0.22388910763058475,0.6974063515663147,0.8726840287189319
7,0.93717134,0.18721900413876388,0.6916426420211792,0.9206258838389724
8,0.9476889,0.1603799296520834,0.680115282535553,0.9865427587492666
9,0.9548851,0.14316736133251037,0.6945244669914246,1.0394913873686227
10,0.9615278,0.12399947741438799,0.6858789920806885,1.0815512802484055
11,0.9665098,0.11757265740926662,0.6858789920806885,1.1205503526613416
12,0.9673402,0.10501359401380557,0.6916426420211792,1.1641015047985814
13,0.9665098,0.10136156712720311,0.6829971075057983,1.1911796845001859
14,0.9703847,0.09163433811587374,0.6858789920806885,1.2121549765727018
15,0.9731525,0.08479995024796506,0.6887608170509338,1.2665631735015672
16,0.9745364,0.08402448047726827,0.6743515729904175,1.285305757515712
17,0.9753667,0.08296705759729733,0.6829971075057983,1.328645891518002
18,0.9745364,0.08017436865538796,0.6887608170509338,1.3585467269853488
19,0.9739828,0.07722531764495086,0.6628242135047913,1.3311672866859765
20,0.9745364,0.07433704777607586,0.6685879230499268,1.3981610708346628
21,0.97508997,0.07290326563681125,0.6599423885345459,1.41866970474507
22,0.9770274,0.06829036054826,0.6714697480201721,1.4249830122296336
23,0.97730416,0.06985928095751379,0.6570605039596558,1.4406116256109232
24,0.9770274,0.0667965163134189,0.6743515729904175,1.5062721335578722
